,カズミ,ち,くりはら,木次谷,まさみくん,遊馬,あきこ夫人,先生,ばん
2026-04-06,3,4,0,5,1,0,1,3,3
2026-04-08,3,4,2,4,1,4,3,3,5
2026-04-09,3,4,2,4,1,4,3,3,5
2026-04-10,3,7,1,4,3,3,1,2,3
2026-04-11,4,5,2,3,2,5,2,4,4
2026-04-12,4,2,1,4,1,3,1,5,2
2026-04-13,4,2,1,4,1,3,1,5,2
2026-04-14,3,1,1,5,0,2,2,4,3
2026-04-15,2,2,2,4,1,3,3,3,4
2026-04-16,1,3,0,6,1,0,1,2,2
2026-04-17,2,1,1,5,0,2,2,4,3
2026-04-18,3,3,2,3,2,3,3,2,4
2026-04-19,3,2,1,4,1,2,2,3,3
2026-04-20,3,2,1,4,1,2,2,3,3
2026-04-21,3,2,1,4,1,2,2,3,3
2026-04-22,2,1,2,2,2,3,3,4,2
2026-04-23,2,1,2,2,2,3,3,4,2
2026-04-24,2,1,2,2,2,3,3,4,2
2026-04-25,2,1,1,2,3,2,4,3,3
2026-04-26,3,2,1,1,4,3,3,4,2
2026-04-27,3,2,1,1,4,3,3,4,2
2026-04-28,2,1,1,2,3,2,4,3,3
2026-04-29,3,4,1,1,4,3,1,2,0
2026-04-30,3,4,1,1,4,3,1,2,0
2026-05-01,5,2,1,2,3,3,3,3,2
2026-05-02,5,2,1,2,3,3,3,3,2
2026-05-03,5,2,1,2,3,3,3,3,2
2026-05-04,4,3,1,1,3,4,2,3,1
2026-05-05,4,3,1,1,3,4,2,3,1
2026-05-06,4,3,1,1,3,4,2,3,1
2026-05-07,4,3,1,1,3,4,2,3,1
2026-05-08,3,2,1,2,2,3,3,2,2
2026-05-09,5,1,3,3,2,4,6,3,3
2026-05-10,4,1,1,3,2,2,4,2,3
2026-05-11,4,1,1,3,2,2,4,2,3
2026-05-12,6,3,0,1,3,3,3,3,2
2026-05-13,5,2,0,2,2,2,4,2,3
2026-05-14,5,2,0,2,2,2,4,2,3
2026-05-15,3,1,0,3,1,1,3,1,3
2026-05-16,3,1,0,4,1,1,3,1,3
2026-05-17,3,1,0,4,1,1,3,1,3
2026-05-18,3,1,0,4,1,1,3,1,3
2026-05-19,3,1,0,5,1,1,3,1,3
2026-05-20,1,2,1,3,3,0,1,0,1
2026-05-21,1,2,1,3,3,0,1,0,1
2026-05-22,1,2,1,3,3,0,1,0,1
2026-05-23,1,2,1,2,3,0,1,0,1
2026-05-24,2,3,1,2,4,1,0,1,0
2026-05-25,2,3,1,2,4,1,0,1,0
2026-05-26,2,3,1,2,4,1,0,1,0
2026-05-27,2,3,1,1,4,1,0,1,0
2026-05-28,2,3,1,2,4,1,0,1,0
2026-05-29,2,3,1,2,4,1,0,1,0
2026-05-30,2,3,1,2,4,1,0,1,0
2026-05-31,1,2,1,3,3,0,1,0,1
2026-06-01,1,2,1,3,3,0,1,0,1
2026-06-02,1,2,1,3,3,0,1,0,1
2026-06-03,1,3,3,2,5,2,3,1,2
2026-06-04,1,3,3,2,5,2,3,1,2
2026-06-05,1,3,3,2,5,2,3,1,2
2026-06-06,2,4,3,1,6,3,2,2,1
2026-06-07,2,4,3,1,6,3,2,2,1
2026-06-08,2,4,3,1,6,3,2,2,1
2026-06-09,2,4,4,0,6,4,2,2,1
2026-06-10,1,3,3,1,5,2,3,1,3
2026-06-11,1,3,3,1,5,2,3,1,3
2026-06-12,1,3,3,1,5,2,3,1,3
2026-06-13,2,2,2,2,4,1,2,2,2
2026-06-14,1,3,3,1,5,2,3,1,3
2026-06-15,1,3,3,1,5,2,3,1,3
2026-06-16,1,3,4,0,5,2,2,1,2
2026-06-17,1,3,3,1,5,2,3,1,3
2026-06-18,1,3,3,1,5,2,3,1,3
2026-06-19,2,4,3,1,6,3,2,2,1
2026-06-20,2,4,4,0,6,4,2,2,1
2026-06-21,2,4,4,0,6,4,2,2,1
